project_ending,rating,text,sentiment
Completed,,"Pekerjaan baik sesuai dengan request. Hanya memang karena tingkat kerumitan tinggi sehingga waktunya molor cukup lama. Namun hal itu tidak masalah, karena worker tetap berkomunikasi dan berkomitmen menuntaskan pekerjaan. Bahkan setelah selesai pun masih mau membuat panduan penggunaan",0
Completed,,"Makasih gan, mohon maaf jika ada salah2 kata ketika bekerjasama.. moga sukses",1
Completed,,Plus :,1
Completed,,semoga bisa bekerja sama lagi,1
Completed,,"ok terima kasih, pengerjaan sesuai harapan.",1
Completed,,,1
Completed,,Trimakasih kerjasamanyaaa...,1
Completed,,Mantap.. saya puas dengan hasilnya..,1
Completed,,Good Worker,1
Completed,,penyelesaian Hasil pekerjaan yang luar biasa? Desain tampilan  Toko online saya menjadi lebih bagus dari sebelumnya.,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,"Respon cukup cepat, pekerjaan sesuai ekspektasi",1
Completed,,"Worker sangat baik, mudah untuk diajak kerjasama dan pelayananya sangat memuaskan",1
Self Mediation,,,1
Completed,,,1
Self Mediation,,,1
Completed,,Auto-rated by system.,0
Completed,,Sudah selesai,1
Completed,,Update Plugin berhasil di lakukan. Di temukan beberapa bug. dan worker segera mengatasi.,0
Completed,,Makasih gan.,1
Completed,,"Sangat profressional ! Cepat dan Akurat banget, bahkan bisa di bilang nggak ada revisi / Revisi minor aja. Semua Requirements yang udh di siapin juga sempurna di masukkan ke dalam Website, sampe Responsive juga udh di konsiderasi, SEO dan page Speed. Definitely bakal balik lagi !",1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,cepat dan komunikatif,1
Completed,,recommended,1
Completed,,"good job, sangat memuaskan",1
Completed,,Auto-rated by system.,0
Completed,,"kerja yang bagus, hanya meleset di waktu yang dijanjikan..",1
Completed,,Worker sudah bekerja dengan baik sesuai harapan saya.,1
Completed,,Terima kasih mas,1
Completed,,Sesuai yang diharapkan,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,Terimakasihbanyak mas sudah dibantu,1
Completed,,"Pekerjaan sudah
sesuai dengan spesifikasi yang tertulis. Ada beberpa penambahan Plugin
di sistem. Worker juga mengerjakan tepat waktu selama kurang lebih 7
Hari. Selebihnya sampai sekarang saya dan tim sedang melakukan proses
testing dan sejauh ini belum ada bug di temukan. Worker juga Fast Respon
dan sigap membantu ketika website mengalami kendala.",1
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,Auto-rated by system.,0
Completed,,"untuk kesekian kalinya , great job gan. will work with you again",1
Completed,,"mantap gan, will work with you again",1
Self Mediation,,,1
Completed,,Sudah bagus dan sesuai...,1
Completed,,Disain bagus dan memuaskan,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,Terima kasih pak,1
Self Mediation,,,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,sip mantap..,1
Completed,,Terima kasih gan,1
Completed,,,1
Completed,,,1
Completed,,Salah satu worker terbaik yang ada di projects. semua request terpenuhi dengan aman dan lancar. SANGAT RECOMENDED WORKER GAN !!,1
Completed,,Ok dikerjakan dengan baik,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,"susai dengan dateline, kerja nya bagus.",1
Completed,,Terima Kasih untuk masukan dan sarannya.,1
Self Mediation,,,1
Completed,,Pekerjaan selesai dengan cepat dan bagus,1
Completed,,"Mantab gan, thanks ya.. ntar kl ada yang kurang mohon bantuannya ya gan",1
Completed,,lumayan hasilnya.,2
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,excelent. best worker,1
Completed,,Thanks sudah baik banget responnya,0
Completed,,"worker sangat pengertian, kerja bagus terimakasih",1
Completed,,,1
Completed,,Biarkanlah bintang ini Bersinar,2
Completed,,Worker bertanggung jawab pada tugas-tugasnya.,2
Completed,,Professional dan berpengalaman,1
Self Mediation,,,1
Completed,,Thank you jasanya,2
Completed,,Auto-rated by system.,0
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,nice to work with. will invite this worker on next project,1
Completed,,kerjaan bagus sesuia yang di mau dan on time sesuai janji,1
Completed,,sangat pengertian dan responsive,1
Completed,,Senang bekerja sama. Saya undang lagi untuk perbaikan klo sudah live,0
Completed,,pekerjaan bagus dan sesuai dengan waktu,1
Completed,,project di support dengan baik,1
Completed,,senang bisa bekerja untuk yang kedua kalinya dengan anda.,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,Recommended banget. Sangat kooperatif Dan tidak hitung2an. Very recommended utk project jangka panjang. Sudah project ketiga Saya d handle beliau. Terima kasih.,1
Completed,,Nice worker.,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,"good job, good time mangement",1
Completed,,Saya senang dibantu oleh Mas Aris (manakreatif). Komunikatif and fast workers.,1
Self Mediation,,,1
Completed,,- Skil wordpress joss,1
Completed,,Terima kasih gan,1
Completed,,Sangat membantu. Terimakasih.,1
Completed,,komunikatif dan cepat.,1
Completed,,"Terima kasih gan atas pembuatan website nya,, berkualitas",1
Completed,,Job done. Recommended worker,1
Completed,,,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,Great worker. Recommended web builder.,1
Completed,,,1
Completed,,bagus hasilny terima kasih banyak sesuai yg saya mau,1
Completed,,Skill worker dan hasil kerja sesuai dengan ekspetasi saya.,1
Completed,,"pekerjaan dikerjakan dengan baik dan tepat waktu, serta worker sangat komunikatif :)terima kasih",1
Self Mediation,,,1
Completed,,Saya sudah mengisi kekosongan halaman dan bagian-bagian yang mungkin diperlukan untuk nantinya dijadikan contoh bagi owner mengisi sendiri.,1
Completed,,,1
Completed,,"pengerjaan cepat, hasilnya tepat sesuai yg di inginkan, dan fleksibel utk bantu hal lain nya...",1
Completed,,semoga bisa langgeng,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,The best worker....,1
Self Mediation,,,1
Completed,,"Pengalaman menyenangkan bekerja dengan Manakreatif yang memiliki komitmen terhadap project yang dikerjakan, tanggap akan keinginan yang disampaikan dan cepat dalam memberikan respond saat dihubungin serta janji akan memberikan layanan setelah project selesai.  Terima kasih dan sukses terus yah..",1
Completed,,,1
Self Mediation,,,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,"Thanks atas kerjasamanya, Cepat prosesnya, dan bisa improve. semoga bisa berlanjut di Project berikutnya. Mungkin bakalan butuh bantuan untuk penyempurnaan web nya hehe",1
Completed,,,1
Completed,,Pengerjaan memuaskan. Freelancer sangat professional dengan tugasnya. Hasil akhir rapi dan ada servis pasca kontraknya juga. Top. Looking forward to our next partnership!,1
Completed,,"Terimakasih atas kerjasamanya,web kami sudah jadi...semoga kedepan bisa lebih tepat waktu sesuai target project,semoga komunikasi dengan pelanggan lebih pro-aktif lagi untuk mepercepat project sesuai keinginan konsumen...worker tanggung jawab terhadap job yg diberikan.semoga kedepan lebih baik lagi",1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Self Mediation,,,1
Completed,,Recomended dan profesional.bisa dipercaya,1
Completed,,"Terima kasih, semua dikejaan dengan baik, semoga bisa lanjut kerjasama yang lain",1
Completed,,thanks mas aris,1
Completed,,"Bintang 5 deh buat worker satu ini, pekerjaan selesai ga sampe setengah hari.Cepat dalam memberikan solusi dan juga memberikan feedback kepada saya selaku cust terhadap permasalahan yang ditangani. Jarang2 kan ada worker yang ngasih tau problem dan cara solvenya ke customer.",2
Self Mediation,,,1
Completed,,"Mantap gan. Hasil kerja melebihi ekspektasi. Proffesional, respond cepat dan expertise yang baik.",1
Completed,,pekerjaan bagus dan rekomended,1
Completed,,luar biasa mantap,1
Completed,,Auto-rated by system.,0
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,"Terima kasih gan, semoga bs kerja sama di lain waktu",0
Completed,,Memberikan panduan dengan cukup jelas. thanks kerja sama nya... :D,0
Completed,,"Good worker, cepat",1
Completed,,"Worker sangat profesional, hasil kerja memuaskan, dan pekerjaan saya
selesai tepat waktu. Terima kasih atas kerjasamanya. Luar biasa!",1
Completed,,Worker bakerja dengan baik dan berkomunikasi dengan baik. Bisa memberi solusi atas permasalahan yg ada,0
Completed,,Auto-rated by system.,0
Completed,,great work,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,thank you for all,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,good buyerdi tunggu next orderhitsmedia.org,1
Completed,,good buyer di tunggu next order,1
Completed,,good buyer di tunggu next orderhitsmedia.org,1
Completed,,thank you owner fast response dan komunikasi lancar,1
Completed,,Terima kasih atas kepercayaan yang diberikan dan semoga sukses selalu bisnisnya.,1
Completed,,"Cukup puas dengan hasil pengerjaan nya, sangat terpercaya pokoknya",1
Self Mediation,,,1
Completed,,Terima Kasih Pak Rahman. Recommended untuk pembuatan website nya. Revisi beberapa kali dilayani dengan ramah dan cepat,1
Completed,,Auto-rated by system.,0
Completed,,Sudah diperbaiki bug nya. Thanks.,0
Self Mediation,,,1
Completed,,Sudah diselesaikan dengan baik. Thanks.,1
Self Mediation,,,1
Self Mediation,,,1
Completed,,,1
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,"untuk update product nya nanti minta tolong bantuan lebihdetail, maaf masih blom kebayang cara teknisnya",2
Completed,,Terima kasih sudah diselesaikan project ini.,1
Completed,,"mantap untuk hasil pekerjaannya sesuai dengan permintaan, untuk kecepatan kerja bagus",1
Completed,,sangat memuaskan hasil kerjanya sesuai dgn yang diharapkan,1
Completed,,Semua diselesaikan dengan baik dan tepat waktu. Thanks.,1
Completed,,Thanks. Diselesaikan dengan baik dan tepat waktu.,1
Completed,,Diselesaikan dengan cepat dan baik hasilnya. Terima kasih.,1
Completed,,Terima kasih. Sudah dikerjakan dengan baik dan tepat waktu.,1
Completed,,terima kasih atas kerja samanya,1
Self Mediation,,,1
Completed,,Semoga bisa bekerja sama kembali mas.,1
Self Mediation,,,1
Completed,,terima kasih kerjasamanya.,1
Self Mediation,,,1
Completed,,Mantap dengan hasil nya dan waktu pengerjaannya.,1
Completed,,"Thanks mas, sesuai dengan yang saya maksud..",1
Self Mediation,,,1
Completed,,"terimakasih mas, tingkatkan terus komunikasinya ya mas",1
Completed,,"terimakasih mas rahman sudah di bantu pembuatan pluginnya. nanti kalo ada perubahan update, minta tolong di bantu lagi ya mas. terimakasih",1
Completed,,Sudah dikerjakan dengan baik sesuai requirement diminta.,0
Self Mediation,,,1
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,Terima kasih Pak sudah dibantu.,1
Completed,,Terima kasih kerja samanya.,1
Completed,,Diselesaikan dengan baik sesuai spesifikasi yang diminta. Terima kasih.,1
Completed,,Thanks. Sudah dikerjakan dengan baik dan tepat waktu.,1
Completed,,Terima kasih Pa Ahmad..Bisa memenuhi semua keinginan project kami.. semoga kedepan ada projects lanjutan dengan Pa Ahmad..Terima kasih,1
Completed,,"Pekerjaan sangat cepat, estimasi dari freelancer 3 hari, namun bisa diselesaikan dalam 1 hari saja.",0
Self Mediation,,,1
Completed,,"bagus udah, cepet terselesaikan. makasih",1
Self Mediation,,,1
Self Mediation,,,1
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,"Mantap. Mas Rahman memahami permasalahan dan melakukan pekerjaan benar-benar sesuai permintaan. Dan hasilnya pun tidak asal jadi, namun dengan kualitas yang baik, bahkan hasilnya melebihi yang saya harapkan. Bisa diandalkan kalau ada project yang lain.",0
Completed,,Komunikasi Bagus dan woker sabar menghadapi permintaan user,1
Completed,,,1
Self Mediation,,,1
Completed,,,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,Mantap Skillnya,1
Completed,,"Terima kasih kerja samanya, semoga terus profesional.",1
Completed,,Focus on good service first then you will get more return.,2
Completed,,pekerjaan sesuai requirement. komunikasi lancar dan baik. pekerjaan juga selesai tepat waktu. terima kasih Mas Rahman,1
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,"Good job, I will contact you again for the next project. If matches your skill list. Keep your work and communication",1
Completed,,mantep pokoknya joos,1
Completed,,Terimakasih sudah dibantu menyelesaikan project nya. Maaf saya slow respon dan tracking nya jadi molor cukup lama dari target. Tapi overall worker tanggap dan cukup komunikatif,1
Completed,,good job.....,1
Arbitrated,,Tim Arbitrator sudah memberikan keputusan berdasarkan fakta-fakta yang tercatat di sistem kami. Adapun keputusan yang diambil adalah sebagai berikut:,0
Completed,,,1
Self Mediation,,,1
Completed,,Thanks mas rahman,1
Completed,,Terima kasih banyak atas bantuannya.,1
Completed,,"Sabar walau project owner slow respons, pekerjaan oke",1
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,Good work. Terima kasih,1
Completed,,Terima kasih mas Rahman atas kerjasama dan hasil karyanya. Terus tingkatkan untuk menjadi yang paling mahir dalam keahlian khusus yang dikuasai. Menyusul project selanjutnya dari kami.,1
Completed,,Pekerjaan sangat baik dan komunikasi lancar.,1
Completed,,"ALhamdulillah, Akhirnya selesai juga, Terima kasih banyak mas rahman. Worker sangat responsive dan expert. Pekerjaan yg di hasilkan pun sangat sesuai dengan harapan.",1
Completed,,Terima kasih. Seperti biasanya dikerjakan dengan sangat baik.,1
Completed,,Diselesaikan dengan baik dan tepat waktu. Thanks.,1
Completed,,Terima kasih banyak atas bantuannya mas.,1
Completed,,Terima kasih atas bantuannya ya mas.,1
Completed,,Terima kasih banyak atas bantuannya.,1
Completed,,Auto-rated by system.,0
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,Diselesaikan dengan baik dan semuanya sudah sesuai spesifikasi. Terima kasih.,1
Completed,,Hasil pekerjaan sangat baik. Thanks.,1
Completed,,,1
Completed,,ok sesuai dengan yg dibutuhkan,1
Self Mediation,,,1
Completed,,Project diselesaikan dengan baik dan sesuai dengan apa yang diminta. Thanks.,1
Completed,,great work bro...,1
Completed,,Selesai dengan baik dan tepat waktu.,1
Completed,,,1
Completed,,"saya kasih bintang lima,",2
Completed,,Semoga bisa bekerja sama kembali mas.,1
Completed,,makasih sudah membuatkan plugin wordpress ini,1
Completed,,"Trims kerjasamanya, mohon dibantu ya nnti kalau ada bug yg dtmukan lg",1
Completed,,Terima kasih.,1
Completed,,Hasil sangat memuaskan dan selesai dengan baik. Terima kasih.,1
Completed,,Saya telah bekerja dengan beberapa freelancer. dan bisa saya katakan Mas Rahman merupakan salah satu yang terbaik dari freelancer yang pernah bekerjasama dengan saya.,1
Completed,,"Cukup bagus walaupun kurang dari harapan awal tapi nggak apa, mantap!",1
Completed,,"Mantul, pekerjaan cepat dan respon worker juga cepat.",1
Completed,,Lanjut ya mas,1
